Arthritis,BAY AREA COUNTIES,Alameda,African American,Female,0-17,0,0,0,0
Arthritis,BAY AREA COUNTIES,Alameda,African American,Female,18-44,2952,4358719,0,0
Arthritis,BAY AREA COUNTIES,Alameda,African American,Female,45-64,8722,19186611,0,0
Arthritis,BAY AREA COUNTIES,Alameda,African American,Female,65-79,4376,15965369,0,0
Arthritis,BAY AREA COUNTIES,Alameda,African American,Female,80+,3373,17474953,0,0
Arthritis,BAY AREA COUNTIES,Alameda,African American,Male,0-17,0,0,0,0
Arthritis,BAY AREA COUNTIES,Alameda,African American,Male,18-44,1109,1484974,0,0
Arthritis,BAY AREA COUNTIES,Alameda,African American,Male,45-64,4132,8524936,0,0
Arthritis,BAY AREA COUNTIES,Alameda,African American,Male,65-79,3914,14485148,0,0
Arthritis,BAY AREA COUNTIES,Alameda,African American,Male,80+,552,2259945,0,0
Arthritis,BAY AREA COUNTIES,Alameda,ASIAN,Female,0-17,0,0,0,0
Arthritis,BAY AREA COUNTIES,Alameda,ASIAN,Female,18-44,1040,1535195,0,0
Arthritis,BAY AREA COUNTIES,Alameda,ASIAN,Female,45-64,9731,21405061,0,0
Arthritis,BAY AREA COUNTIES,Alameda,ASIAN,Female,65-79,8300,30277762,0,0
Arthritis,BAY AREA COUNTIES,Alameda,ASIAN,Female,80+,2570,13315794,0,0
Arthritis,BAY AREA COUNTIES,Alameda,ASIAN,Male,0-17,0,0,0,0
Arthritis,BAY AREA COUNTIES,Alameda,ASIAN,Male,18-44,2458,3290592,0,0
Arthritis,BAY AREA COUNTIES,Alameda,ASIAN,Male,45-64,7489,15449994,0,0
Arthritis,BAY AREA COUNTIES,Alameda,ASIAN,Male,65-79,4633,17142584,0,0
Arthritis,BAY AREA COUNTIES,Alameda,ASIAN,Male,80+,880,3603172,0,0
Arthritis,BAY AREA COUNTIES,Alameda,HISPANIC,Female,0-17,0,0,0,0
Arthritis,BAY AREA COUNTIES,Alameda,HISPANIC,Female,18-44,2677,3952770,0,0
Arthritis,BAY AREA COUNTIES,Alameda,HISPANIC,Female,45-64,8164,17958761,0,0
Arthritis,BAY AREA COUNTIES,Alameda,HISPANIC,Female,65-79,4381,15981982,0,0
Arthritis,BAY AREA COUNTIES,Alameda,HISPANIC,Female,80+,1737,8997015,0,0
Arthritis,BAY AREA COUNTIES,Alameda,HISPANIC,Male,0-17,0,0,0,0
Arthritis,BAY AREA COUNTIES,Alameda,HISPANIC,Male,18-44,3034,4060901,0,0
Arthritis,BAY AREA COUNTIES,Alameda,HISPANIC,Male,45-64,4600,9489755,0,0
Arthritis,BAY AREA COUNTIES,Alameda,HISPANIC,Male,65-79,2850,10544990,0,0
Arthritis,BAY AREA COUNTIES,Alameda,HISPANIC,Male,80+,884,3620563,0,0
Arthritis,BAY AREA COUNTIES,Alameda,Other Races,Female,0-17,0,0,0,0
Arthritis,BAY AREA COUNTIES,Alameda,Other Races,Female,18-44,1883,2780265,0,0
Arthritis,BAY AREA COUNTIES,Alameda,Other Races,Female,45-64,3066,6745191,0,0
Arthritis,BAY AREA COUNTIES,Alameda,Other Races,Female,65-79,1643,5994414,0,0
Arthritis,BAY AREA COUNTIES,Alameda,Other Races,Female,80+,592,3066806,0,0
Arthritis,BAY AREA COUNTIES,Alameda,Other Races,Male,0-17,0,0,0,0
Arthritis,BAY AREA COUNTIES,Alameda,Other Races,Male,18-44,756,1012251,0,0
Arthritis,BAY AREA COUNTIES,Alameda,Other Races,Male,45-64,1787,3687508,0,0
Arthritis,BAY AREA COUNTIES,Alameda,Other Races,Male,65-79,769,2845905,0,0
Arthritis,BAY AREA COUNTIES,Alameda,Other Races,Male,80+,125,512872,0,0
